serial_number;product_model;purchase_date;registration_date;country;source_note;;;;;;;;;;;
R1205795;Artemis 2100 3-12x50 RD;2013-04-09;2013-04-19;cz;MSO CZ;;;;;;;;;;;
R1118162;MeoStar R1r 3-12x56 RD;2013-04-13;2013-04-19;cz;MSO CZ;;;;;;;;;;;
130348;MeoStar B1 10x42 HD;2013-04-19;2013-04-19;cz;MSO CZ;;;;;;;;;;;
R1220730;MeoStar R1r 3-12x56 RD;2013-04-16;2013-04-20;cz;MSO CZ;;;;;;;;;;;
R1219203;MeoStar R1r 3-12x56 RD;2013-04-17;2013-04-21;cz;MSO CZ;;;;;;;;;;;
R1222874;MeoStar R1r 3-12x56 RD;2013-04-16;2013-04-21;cz;MSO CZ;;;;;;;;;;;
114199;MeoStar B1 8x56;2013-04-23;2013-04-23;cz;MSO CZ;;;;;;;;;;;
R1118282;MeoStar R1r 3-12x56 RD;2013-04-23;2013-04-23;cz;MSO CZ;;;;;;;;;;;
126150;MeoStar B1 10x32;2013-04-23;2013-04-23;cz;MSO CZ;;;;;;;;;;;
126150;MeoStar B1 8x56;2013-04-23;2013-04-24;cz;MSO CZ;;;;;;;;;;;
R1206947;MeoStar R1r 3-12x56 RD;2013-04-24;2013-04-25;cz;MSO CZ;;;;;;;;;;;
R1220241;MeoStar R1 7x56;2013-04-03;2013-04-26;cz;MSO CZ;;;;;;;;;;;
R1218724;MeoStar R1 3-12x56;2013-04-10;2013-04-27;cz;MSO CZ;;;;;;;;;;;
R1222262;MeoStar R1 3-12x56 RD;2013-04-15;2013-04-27;cz;MSO CZ;;;;;;;;;;;
R1224836;R1r 3-12x56 RGD;2013-04-11;2013-04-27;cz;MSO CZ;;;;;;;;;;;
126063;MeoStar B1 10x42 HD;2013-04-25;2013-04-28;cz;MSO CZ;;;;;;;;;;;
R0822770;MeoStar R1 7x56;2013-04-11;2013-05-01;cz;MSO CZ;;;;;;;;;;;
R1215543;Artemis 2000 4x32;2013-04-30;2013-05-06;cz;MSO CZ;;;;;;;;;;;
R1213265;MeoStar R1 1,5-6x42 RD;2013-05-07;2013-05-08;cz;MSO CZ;;;;;;;;;;;
R1222299;MeoStar R1r 3-12x56 RD;2013-04-17;2013-05-09;cz;MSO CZ;;;;;;;;;;;
R1220283;MeoStar R1 7x56 RD;2013-05-07;2013-05-09;cz;MSO CZ;;;;;;;;;;;
601831;MeoStar B1 10x50;2013-05-09;2013-05-10;cz;MSO CZ;;;;;;;;;;;
R1110557;MeoStar R1 7x56 RD;2013-05-03;2013-05-11;cz;MSO CZ;;;;;;;;;;;
114462;MeoStar B1 8x56;2013-05-03;2013-05-11;cz;MSO CZ;;;;;;;;;;;
R1213785;Artemis 2100 7x50 RD;2013-05-06;2013-05-12;cz;MSO CZ;;;;;;;;;;;
130833;MeoStar B1 8x56;2013-05-09;2013-05-12;cz;MSO CZ;;;;;;;;;;;
R1218147;MeoStar R1r 3-12x56 RD;2013-04-26;2013-05-13;cz;MSO CZ;;;;;;;;;;;
R1222310;MeoStar R1r 3-12x56 RD;2013-05-13;2013-05-13;cz;MSO CZ;;;;;;;;;;;
126185;MeoStar B1 10x42 HD;2013-05-13;2013-05-15;cz;MSO CZ;;;;;;;;;;;
R1305625;ZD 6-24x56;2013-05-16;2013-05-16;cz;MSO CZ;;;;;;;;;;;
R1301187;MeoStar R1r 3-12x56 RD/MR;2013-05-15;2013-05-16;cz;MSO CZ;;;;;;;;;;;
R1208308;Artemis 2000 4x32;2013-05-17;2013-05-17;cz;MSO CZ;;;;;;;;;;;
R1109348;ZD 3-12x56;2013-05-15;2013-05-18;cz;MSO CZ;;;;;;;;;;;
P1305958;R1r 3-12x56 RGD;2013-05-10;2013-05-18;cz;MSO CZ;;;;;;;;;;;
R1223394;MeoStar R1r 3-12x56 RD;2013-05-16;2013-05-18;cz;MSO CZ;;;;;;;;;;;
130058;MeoStar B1 8x56;2013-05-17;2013-05-19;cz;MSO CZ;;;;;;;;;;;
R0817702;MeoStar R1 7x56;2013-05-14;2013-05-19;cz;MSO CZ;;;;;;;;;;;
R1305971;R1r 3-12x56 RGD;2013-05-03;2013-05-20;cz;MSO CZ;;;;;;;;;;;
R1305971;R1r 3-12x56 RGD;2013-05-03;2013-05-20;cz;MSO CZ;;;;;;;;;;;
